,DOI (se houver),title,author,year,abstract,word_count,keywords,SDG17,SDG16,SDG15,SDG14,SDG13,SDG12,SDG11,SDG10,SDG9,SDG8,SDG7,SDG6,SDG5,SDG4,SDG3,SDG2,SDG1
0, doi.org/10.1016/j.jsames.2020.102631,"New palynostratigraphic data of the Irati (Assistência Member) and the Corumbataí formations, Paraná Basin, Brazil, and correlation with other south American basins","['HV Rocha', 'M Mendes', 'Z Pereira', 'C Rodrigues']",2020,"This research presents the palynostratigraphy of organic-rich shales from the Irati and the Corumbataí formations, Paraná Basin (PB), Southeastern Brazil, as part of an unconventional hydrocarbon source rock and CO 2 reservoir assessment study. Thirty-four samples from the Corumbataí Formation and the Assistência Member of the Irati Formation were collected in the states of Goiás (northern border of the PB), São Paulo and Paraná (eastern and southern border of the PB, respectively). The acquired data allowed to",77,"['pb', 'paraná', 'irati', 'corumbataí', 'basin', 'paraná basin', 'member', 'formations paraná basin', 'formations paraná', 'formations', 'corumbataí formations paraná', 'corumbataí formations', 'border pb', 'border', 'assistência member', 'assistência', 'formation', 'data', 'brazil', 'unconventional hydrocarbon source']",0.007948232202315919,0.0,0.0,0.0,0.002531417320221704,0.0,0.0,0.006107612163240743,0.01542310853185666,0.0,0.0031354901353848404,0.004669433945229709,0.0,0.0,0.0,0.0,0.0
1, doi.org/10.1016/j.cogsc.2020.100386,Hydrogenation of carbon dioxide: from waste to value,"['AH Braga', 'P Vidinha', 'LM Rossi']",2020,"Atmospheric carbon dioxide concentration has been increasing in the last two decades and, as a major greenhouse gas, it has been linked to global warming and climate changes. Capture and conversion of CO 2 into fuels and chemicals offers opportunities to mitigate the increasing CO 2 buildup, while simultaneously adding value to CO 2. The main limitation in CO 2 conversion is its high thermodynamic stability, thus requiring catalysts and energy input to drive the transformation. In this minireview we will discuss specific reaction",84,"['co', 'value', 'increasing', 'conversion', 'dioxide', 'carbon dioxide', 'waste value atmospheric', 'waste value', 'warming climate changes', 'warming climate', 'value co main', 'value co', 'value atmospheric carbon', 'value atmospheric', 'transformation minireview discus', 'transformation minireview', 'transformation', 'thus requiring catalyst', 'thus requiring', 'thermodynamic stability thus']",0.01908609443107723,0.0,0.0,0.026418334118540734,0.19270082950726913,0.04316220092847589,0.019949958816617874,0.007253832992161222,0.018389039199648353,0.01294630259216747,0.11326329035213333,0.0018139800199444838,0.005468378328254144,0.0092608498677006,0.00594745788346423,0.0,0.0
2, doi.org/10.1016/j.atmosenv.2020.117814,PM emissions from heavy-duty trucks and their impacts on human health,"['ACR Teixeira', 'RR Borges', 'PG Machado']",2020,"The Brazilian transport system is based on the use of highways and road heavy-duty trucks are the main type of vehicle to perform this activity. There are more than 1 million km of highways in the country and the search for alternative technologies to reduce emissions from the transport industry is increasing. The Blue Corridor research started to replace heavy-duty vehicles fueled by conventional diesel to liquefied natural gas (LNG) and its effect on pollutant emissions reductions. In this context, this paper aims at evaluating the atmospheric",87,"['heavy duty', 'heavy', 'duty', 'truck', 'highway', 'heavy duty truck', 'duty truck', 'emission', 'transport', 'vehicle', 'vehicle perform activity', 'vehicle perform', 'vehicle fueled conventional', 'vehicle fueled', 'use highway road', 'use highway', 'type vehicle perform', 'type vehicle', 'truck main type', 'truck main']",0.022807719010600087,0.00419288599567434,0.0030020567668715766,0.0,0.03877365105055673,0.0302246334439725,0.038180942399540736,0.013806563111056184,0.04552567845363822,0.004848530124777965,0.04915273112486036,0.0017146659873661482,0.015689567389364247,0.0,0.054103778465727184,0.004242359466157036,0.012506502427125811
3, doi.org/10.1016/j.tranpol.2020.08.023,Public policies to implement alternative fuels in the road transport sector,"['ACR Teixeira', 'PG Machado', 'RR Borges', 'D Mouette']",2020,"Over the last century, several public policies and programs focusing on the transport sector have been implemented, contributing to changes in the way fuels are consumed in the world. This paper aims to analyze the effects of public policies on fuel prices and consumption through a review of the legislation and a historical analysis from 1920 to 2019 of the political and economic contexts regarding different fuels. In order to do so, this paper uses Brazil as a case study. From combining historical fuel prices/consumption data and the",88,"['public policy', 'public', 'policy', 'fuel', 'transport sector', 'historical', 'transport', 'consumption', 'sector', 'paper', 'world paper aim', 'world paper', 'world', 'way fuel consumed', 'way fuel', 'us brazil case', 'us brazil', 'us', 'transport sector last', 'transport sector implemented']",0.021956786224759717,0.025403773715377883,0.0,0.011853041614298386,0.019808477846564997,0.051478673541642636,0.052480866895315434,0.04891792027111236,0.038382779965181385,0.06125594551233296,0.06115716543810139,0.0016477774987040837,0.0,0.0,0.013766658063264223,0.0040768665858274215,0.012015927561398852
4, doi.org/10.1016/j.rser.2020.110296,Sugarcane for bioethanol production: Potential of bagasse in Chinese perspective,"['J Huang', 'MT Khan', 'D Perecin', 'ST Coelho']",2020,"Being a massive grower of sugarcane, China could use this crop in the biofuel sector. However, this critical aspect of the sugarcane crop in China has not been extensively explored. Therefore, this review analyzed the country's potential, bottlenecks, and a critical analysis of policies vs. the Brazilian model of sugarcane derived biofuels. The study determined that Brazilian sugarcane production significantly varied from Chinese conditions regarding first-generation ethanol production. The first-generation ethanol production is also",74,"['sugarcane', 'production', 'generation ethanol production', 'generation ethanol', 'first generation ethanol', 'first generation', 'ethanol production', 'crop', 'critical', 'chinese', 'china', 'first', 'generation', 'potential', 'ethanol', 'brazilian', 'vs brazilian model', 'vs brazilian', 'vs', 'varied chinese condition']",0.003946383723201464,0.0037348220923226995,0.002674088431425518,0.003582320691441364,0.0025314173202217053,0.05235609107592525,0.006623270043308969,0.012290767180445797,0.010220255085352107,0.01806677040175102,0.0,0.0015273423644659471,0.0,0.0,0.007481615780194503,0.04798087483860834,0.005536307819053445
5, doi.org/10.1016/j.fuel.2020.118749,Influence of feed rate and testing variables for low-temperature tri-reforming of methane on the Ni@ MWCNT/Ce catalyst,"['CE Kozonoe', 'RMB Alves', 'M Schmal']",2020,"This work proposes the synthesis of the Ni@ MWCNT/Ce catalyst and evaluation the influence of feed rate and testing variables on the tri-reforming of methane. Morphology and incorporation of the nanoparticles in carbon nanotubes were investigated by X-ray diffraction, scanning electron microscopy (SEM), transmission electron microscopy (TEM), specific surface area (BET), thermogravimetric analyses (TGA) and Raman spectroscopy. The 5% Ni@ MWCNT/5% Ce catalyst was initially tested at 700° C for 44 h and remained",74,"['ni mwcnt ce', 'ni mwcnt', 'mwcnt ce catalyst', 'mwcnt ce', 'ce catalyst', 'mwcnt', 'ce', 'testing variable', 'testing', 'rate testing variable', 'rate testing', 'rate', 'influence feed rate', 'influence feed', 'feed rate testing', 'feed rate', 'feed', 'ni', 'catalyst', 'tri reforming methane']",0.0,0.007486578077348392,0.0,0.010774742430491178,0.023276383669860113,0.0,0.0,0.0,0.0,0.01771072725797059,0.006265616705103706,0.0,0.0022876830353848877,0.0,0.009957941122930422,0.0,0.0
6, doi.org/10.1016/j.jclepro.2020.122585,COP optimization of propane pre-cooling cycle by optimal Fin design of heat exchangers: Efficiency and sustainability improvement,"['A Allahyarzadeh-Bidgoli', 'DJ Dezan']",2020,"The demand for LNG (liquefied natural gas) increases each year, and relevant studies have been developed in order to reduce both power consumption and greenhouse gas emissions of LNG plants. Multistream plate-fin heat exchangers (MPFHE) are widely used in these plants due to their large heat transfer surface area per unit volume for multi-phase flows. The thermal-hydraulic performance of heat exchangers also impacts on compressor shaft work of liquefaction plants. In this study, an automated optimization procedure is performed for",80,"['heat', 'plants', 'heat exchanger', 'fin', 'exchanger', 'lng', 'optimization', 'study', 'gas', 'year relevant study', 'year relevant', 'year', 'work liquefaction plants', 'work liquefaction', 'widely used plant', 'widely used', 'widely', 'volume multi phase', 'volume multi', 'used plant due']",0.012675092173216222,0.0,0.00569664789422816,0.0038029598875961657,0.04481790639664572,0.03848567703795389,0.01411634405274931,0.006483786926528205,0.00811534538293079,0.028629302850732764,0.03085720411326575,0.0032451571269050275,0.002439958527074063,0.002742667853621359,0.0,0.0,0.0
7, doi.org/10.1016/j.ijggc.2020.103083,Technology readiness assessment of ultra-deep Salt caverns for carbon capture and storage in Brazil,"['MBR Goulart', 'PVM da Costa', 'AM da Costa']",2020,"This article presents a Technology Readiness Assessment (TRA) of a new concept called the Salt Cavern Hybrid Subsea Carbon Capture and Storage (CCS) System, which performs all the offshore natural gas and CO 2 separation process with subsequent storage in offshore underground salt caverns. Currently there is a demand for CCS of large quantities of CO 2 associated with CH 4 in the pre-salt offshore oil fields in Brazil. The pre-salt reservoirs have as caprock 2000 m of continuous rock salt. This hybrid system is expected to",87,"['salt', 'offshore', 'storage', 'technology readiness assessment', 'technology readiness', 'readiness assessment', 'readiness', 'pre salt', 'hybrid', 'assessment', 'salt cavern', 'pre', 'cavern', 'carbon capture storage', 'carbon capture', 'capture storage', 'technology', 'capture', 'brazil', 'system']",0.029627778953320454,0.0,0.0,0.006560507423578621,0.046243193614527674,0.0052730031466070625,0.012122326228548778,0.0,0.03357452369253153,0.0,0.03697728601613107,0.0,0.0,0.0,0.0,0.0,0.010138955072585243
8, doi.org/10.1007/s40863-020-00171-7,The e‑value: a fully Bayesian significance measure for precise statistical hypotheses and its research program,"['CAB Pereira', 'JM Stern']",2020,Vol.:(0123456789) São Paulo Journal of Mathematical Sciences https://doi.org/10.1007/s40863- 020-00171-7 1 3 SPECIAL ISSUE COMMEMORATING THE GOLDEN JUBILEE OF THE INSTITUTE OF MATHEMATICS AND STATISTICS OF THE UNIVERSITY OF SÃO PAULO,30,"['são paulo', 'são', 'paulo', 'vol 0123456789 são', 'vol 0123456789', 'vol', 'value fully bayesian', 'value fully', 'university são paulo', 'university são', 'university', 'são paulo journal', 'statistical hypothesis research', 'statistic university são', 'statistic university', 'statistic', 'special issue commemorating', 'special issue', 'special', 'significance measure precise']",0.013062011656478247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016830686911155374,0.0,0.005148255625045799,0.0,0.0,0.0,0.0,0.0,0.0
9, doi.org/10.1016/j.jcou.2020.101215,Insights into the methanol synthesis mechanism via CO2 hydrogenation over Cu-ZnO-ZrO2 catalysts: Effects of surfactant/Cu-Zn-Zr molar ratio,"['FCF Marcos', 'L Lin', 'LE Betancourt']",2020,"In this study, we evaluated aspects of the CO 2 hydrogenation mechanism, correlating structure-activity relationships of Cu-ZnO-ZrO 2 catalysts prepared by one-pot surfactant-assisted co-precipitation with different surfactant ratios. Identifying the CO 2 hydrogenation pathway intermediates is key to controlling the reaction selectivity. Experimental evidence shows that the CO 2 is dissociating into CO* and O* onto the surface of the Cu-ZnO-ZrO 2 catalyst. The adsorption and dissociation of CO 2 were evidenced by a combination of in situ",78,"['co', 'cu', 'zno', 'cu zno', 'surfactant', 'hydrogenation', 'zro catalyst', 'zno zro catalyst', 'zno zro', 'cu zno zro', 'co hydrogenation', 'zro', 'mechanism', 'catalyst', 'zro2 catalysts effect', 'zro2 catalysts', 'zro catalyst prepared', 'zro catalyst adsorption', 'zr molar ratio', 'zr molar']",0.0,0.0,0.0,0.0,0.01939515453196594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10, doi.org/10.1016/j.renene.2020.04.056,Obtaining C2 and C3 products from methane using Pd/C as anode in a solid fuel cell-type electrolyte reactor,"['AS Ramos', 'MCL SANTOS', 'CM Godoi']",2020,"Organic waste to energy (OWtE) technologies have been developed and implemented in Latin America and the Caribbean (LAC) countries. However, they are still far away to significantly contribute not only to treat the ever-increasing waste volumes in the region but also to supply the regional energy demand and meet national carbon emission goals. The technical complexity of these technologies aligned with lack of research, high investment costs and political deficiencies have not allowed for an appropriate implementation of OWtE",79,"['owte', 'waste', 'energy', 'technology', 'waste volume region', 'waste volume', 'waste energy owte', 'waste energy', 'volume region supply', 'volume region', 'type electrolyte reactor', 'type electrolyte', 'treat ever increasing', 'treat ever', 'treat', 'technology developed implemented', 'technology developed', 'technology aligned lack', 'technology aligned', 'technical complexity technology']",0.04613319560510444,0.004656851351028036,0.006683226627497907,0.0044667013687336304,0.019248733598465437,0.07723396717282559,0.03813015321978106,0.0,0.07511133760409153,0.005385046024472468,0.21838744302747157,0.00968319551722504,0.0,0.0,0.003091188139972446,0.0,0.0
11, doi.org/10.1002/cctc.202000297,A mean-field formulation for the mean-variance control of discrete-time linear systems with multiplicative noises,"['F Barbieri', 'OLV Costa']",2020,"Methane was converted into C2 and C3 products under mild conditions using a single stage solid electrolyte reactor, using a proton exchange membrane fuel cell as a SER-FC and Pd/C as an electrocatalyst prepared by the reduction method of sodium borohydride. This electrocatalyst has a cubic pattern of palladium centered on the face and an average size of nanoparticles close to 6.4 nm, according to the literature. Differential mass spectrometry reveals the chemical profile of species obtained from the oxidation of methane with ionic",84,"['electrocatalyst', 'mean', 'methane', 'variance control discrete', 'variance control', 'system multiplicative noise', 'system multiplicative', 'stage solid electrolyte', 'stage solid', 'stage', 'spectrometry reveals chemical', 'spectrometry reveals', 'spectrometry', 'specie obtained oxidation', 'specie obtained', 'solid electrolyte reactor', 'solid electrolyte', 'sodium borohydride electrocatalyst', 'size nanoparticles close', 'size nanoparticles']",0.004956953826362616,0.0,0.031569113571732726,0.004499663363777696,0.016291182569083743,0.007287965843642514,0.016737845650923587,0.0,0.0,0.005424784938207156,0.015997545445364168,0.0,0.0,0.0,0.003113999543677039,0.0,0.0069540176912434686
12, doi.org/10.1080/00207721.2020.1780340,A first look at social factors driving CCS perception in Brazil: A case study in the Recôncavo Basin,"['ALA Netto', 'G Câmara', 'E Rocha', 'AL Silva']",2020,"This paper considers the stochastic optimal control of a multi-period mean-variance trade-off performance criterion with and without constraints for discrete-time linear systems subject to multiplicative noises. We adopt a mean-field approach to tackle the problem and obtain a solution for the unconstrained case in terms of a Riccati-like difference equation. From this general result, we obtain a sufficient condition for a closed-form solution for one of the constrained problems considered in the paper. When particularised to the portfolio selection",79,"['obtain', 'solution', 'mean', 'case', 'problem', 'paper', 'without constraint discrete', 'without constraint', 'variance trade performance', 'variance trade', 'unconstrained case term', 'unconstrained case', 'unconstrained', 'trade performance criterion', 'trade performance', 'trade', 'term riccati like', 'term riccati', 'tackle problem obtain', 'tackle problem']",0.014198254656758977,0.0,0.0,0.0,0.009145814059685491,0.0,0.003905686031569737,0.014611362668173205,0.0030105018497142678,0.015603744993946799,0.0,0.0018139800199444842,0.002729739867110661,0.0,0.005911909266542885,0.013588343016342158,0.0200444902035056
13, doi.org/10.1016/j.ijggc.2020.103053,Parametric study and geomechanical design of Ultra-deep-water Offshore Salt Caverns for Carbon Capture and Storage in Brazil,"['PVM da Costa', 'AM da Costa', 'JR Meneghini']",2020,"Carbon Capture and Storage (CCS) is a promising technology to help greenhouse gas emission mitigation. However, one of the greatest challenges for this technology implementation is the opposition from the population living near the potential sites. Despite the Brazilian geological potential for carbon dioxide injection, research investigating social site characterization or CCS public perception is almost non-existent in Brazil. Thus, this research aims to address this gap and analyze social factors driving CCS perception of the",76,"['social', 'perception', 'potential', 'carbon', 'storage', 'research', 'carbon capture storage', 'carbon capture', 'capture storage', 'technology', 'cc', 'capture', 'brazil', 'water offshore salt', 'water offshore', 'thus research aim', 'thus research', 'technology implementation opposition', 'technology implementation', 'technology help greenhouse']",0.044891407782972556,0.008182469597064621,0.002917001371801202,0.020154120702225643,0.07465968929863445,0.019242320937230176,0.02191233653861988,0.027234275798518504,0.06193626713853776,0.007139192806245715,0.0704855633532227,0.05899926911142856,0.010163300582625313,0.0,0.005418972951214582,0.004122163351144676,0.03092637796895404
14, doi.org/10.1016/j.ijrmms.2020.104354,Properties and DEFC tests of Nafion,"['BR Matos', 'CA Goulart', 'B Tosco']",2020,"This article describes a new concept to reduce carbon dioxide emissions of offshore oil production of high gas-to-oil ratio reservoirs and high content of CO2, denominated Offshore Salt Cavern Ultra-deep Water CCS (Carbon Capture and Storage) System. This hybrid system is intended for natural gas storage, the gravitational separation between CO 2/CH 4, and CO 2 confinement for final destination. This development emerged from a current demand of some Brazilian pre-salt reservoirs to destinate a gas stream with high CO 2",81,"['high', 'co', 'gas', 'reservoir', 'oil', 'offshore', 'storage', 'salt', 'system', 'water cc carbon', 'water cc', 'test nafion article', 'test nafion', 'system intended natural', 'system intended', 'system hybrid system', 'system hybrid', 'stream high co', 'stream high', 'stream']",0.012800044977265009,0.0,0.0,0.015539911901980948,0.09399004587949106,0.03903316238093556,0.028920804082790637,0.01312160242626572,0.010900164051924705,0.006935583457741988,0.03139000216251432,0.0577235446174232,0.0,0.002757294545064599,0.005301800033137231,0.012202888857214184,0.011912005987529764
15, doi.org/10.1016/j.memsci.2020.118042,Assessment of property estimation methods for the thermodynamics of carbon dioxide-based products,"['KA Pacheco', 'AE Bresciani', 'CAO Nascimento']",2020,"Nafion based composites are promising materials to improve the performance of direct ethanol fuel cells. In this work, composite membranes of Nafion and titanate nanotubes functionalized with sulfonic acid groups were prepared by melt-extrusion and tested in a direct ethanol fuel cell. Far and mid infrared spectroscopies evidenced the formation of ionic bridges between the sulfonic acid groups of both functionalized nanoparticles and the ionomer. Small angle X-ray scattering measurements revealed that the melt-extrusion",74,"['sulfonic acid group', 'sulfonic acid', 'sulfonic', 'melt extrusion', 'melt', 'group', 'extrusion', 'ethanol fuel', 'direct ethanol fuel', 'direct ethanol', 'acid group', 'acid', 'nafion', 'functionalized', 'direct', 'composite', 'ethanol', 'based', 'fuel', 'work composite membrane']",0.0089938115993024,0.0,0.006053294337277633,0.008126112676278191,0.01742307386476523,0.009910909000545334,0.0,0.0,0.0,0.02524498157589814,0.03465339144747148,0.0,0.0025956923732315994,0.0,0.0,0.004267685322176151,0.0
16, doi.org/10.1016/j.enconman.2020.112756,Structure and activity of supported bimetallic NiPd nanoparticles: influence of preparation method on CO2 reduction,"['AH Braga', 'NJS Costa', 'K Philippot', 'R Gonçalves']",2020,"Carbon dioxide can be used as feedstock to produce chemicals. It represents a stimulating defiance to manufacture novel cost competitive materials with less environmental impact, besides to investigate new opportunities for catalysts and industrial chemistry. The contribution of carbon dioxide conversion goes beyond lowering global warming, by reducing fossil resource depletion or even yielding more benign production pathways. Albeit promising, the literature data regarding the quantity of energy needed to convert carbon",72,"['carbon', 'dioxide', 'carbon dioxide', 'yielding benign production', 'yielding benign', 'yielding', 'warming reducing fossil', 'warming reducing', 'used feedstock produce', 'used feedstock', 'supported bimetallic nipd', 'supported bimetallic', 'structure activity supported', 'stimulating defiance manufacture', 'stimulating defiance', 'stimulating', 'resource depletion even', 'resource depletion', 'resource', 'represents stimulating defiance']",0.01989848495636804,0.0,0.006634976003090844,0.04767371475164228,0.09335074321806446,0.05699282621539498,0.01646965233603753,0.007560440079197121,0.02562851939213716,0.02459036855782826,0.08911327087505361,0.001890653846107497,0.00569951730703241,0.009655033534549197,0.00926288218891635,0.014166724369360267,0.01383764431636796
17, doi.org/10.1002/cctc.201902329,Stress-constrained level set topology optimization for compliant mechanisms,"['H Emmendoerfer Jr', 'EA Fancello', 'ECN Silva']",2020,"Bimetallic Ni‐Pd and Ni, Pd reference catalysts were prepared by decomposing organometallic precursors, Ni (cod) 2 and Pd2 (dba) 3, leading to nanoparticles with sizes ranging from 3 to 6 nm. Two different synthesis procedures were followed: i) solution synthesis using capping ligand (hexadecylamine) followed by impregnation of pre‐formed nanoparticles on SiO2, called Sol‐immobilization (SI); and 2) direct precursor decomposition onto SiO2, without stabilizer, called Direct Decomposition (DD). Samples prepared by SI",72,"['sio2', 'si', 'ni pd', 'followed', 'ni', 'decomposition', 'direct', 'pd', 'called', 'synthesis', 'nanoparticles', 'prepared', 'without stabilizer called', 'without stabilizer', 'topology optimization compliant', 'synthesis procedure followed', 'synthesis procedure', 'synthesis capping ligand', 'synthesis capping', 'stress constrained level']",0.008833719051185365,0.0,0.0,0.0,0.0056288001496532505,0.003204487095944085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027508492366261714,0.0,0.0
18, doi.org/10.1016/j.cma.2019.112777,Methane tri-reforming for synthesis gas production using Ni/CeZrO2/MgAl2O4 catalysts: Effect of Zr/Ce molar ratio,"['AVP Lino', 'CB Rodella', 'EM Assaf', 'JM Assaf']",2020,"This work presents a level set-based topology optimization procedure to design compliant mechanisms subject to local stress constraints. A classical technical difficulty related to the design of compliant mechanisms is the emergence of non-realistic flexible joints (hinges) subject to unfeasible strain and stresses. A natural way to overcome this occurrence is the inclusion of stress constraints within the formulation. This approach brings, on the other hand, particular difficulties associated with the local nature of stress constraints. To deal with",79,"['stress', 'stress constraints', 'difficulty', 'design compliant mechanism', 'design compliant', 'constraints', 'subject', 'local', 'compliant mechanism', 'compliant', 'mechanism', 'design', 'work present level', 'work present', 'within formulation approach', 'within formulation', 'within', 'way overcome occurrence', 'way overcome', 'unfeasible strain stresses']",0.0,0.004144133389490562,0.0,0.0,0.022923296388166668,0.019578848800351698,0.011027201821999962,0.0,0.0,0.02228668887561337,0.0052252704102882415,0.001694728780462592,0.005117966583350306,0.002866683454957513,0.0027508492366261736,0.008423167214380158,0.012360243876447491
