Carimbo de data/hora,Idade,Sexo,Cor ou raça/etnia,Área de formação (graduação),Estado de origem,Relação com o RCGI,Você conhece a Agenda 2030 da ONU e os ODS?,Como você avalia seu grau de conhecimento sobre a Agenda 2030 e os ODS?,Essa avaliação se refere a qual projeto do RCGI? ,Erradicação da pobreza,Fome zero,Saude e bem estar,Educacao de qualidade,Igualdade de genero,Agua potavel e saneamento,Energia limpa e acessivel,Trabalho decente e crescimento economico,"Industria, inovacao e infraestrutura",Reducao da desigualdade,Cidades e comunidades sustentaveis,Consumo e producao responsaveis,Acao contra mudanca global do clima,Vida na agua,Vida terrestre,"Paz, justilca e instituicoes eficazes",Parcerias e meios de implementacao,Quais atitudes poderiam fazer seu projeto relevante em mais ODS? (opcional),Você participa de outro projeto do RCGI?,
2020/05/19 4:35:09 PM GMT-3,30 - 34,Feminino,Branca,Direito,Rio de Janeiro (RJ),Aluno de doutorado,Não,,Projeto 42,1,1,3,1,1,1,3,3,4,1,3,3,4,2,3,1,2,,não,Não participo.
2020/05/19 9:07:16 PM GMT-3,30 - 34,Masculino,Branca,Engenharia,São Paulo (SP),Pesquisador,Sim,4,Projeto 42,1,1,3,4,5,1,5,4,5,2,3,4,5,5,1,4,5,Possuir um canal de comunicação para divulgação dos resultados científicos para todos os públicos e promover processos seletivos específicos para a inserção de uma maior diversidade de pessoas.,não,Não participo.
2020/05/19 9:28:28 PM GMT-3,45 - 49,Masculino,Branca,Engenharia,Minas Gerais (MG),Pesquisador,Sim,3,Projeto 31,3,2,4,4,3,2,5,4,4,3,4,5,5,3,4,2,5,,não,Não participo.
2020/05/20 10:01:40 AM GMT-3,35 - 39,Masculino,Amarela,Engenharia,São Paulo (SP),Pós-doutorando,Não,,Projeto 37,4,5,5,5,4,5,5,4,4,3,3,3,3,3,3,2,3,,não,Não participo.
2020/05/20 11:43:47 AM GMT-3,65+,Masculino,Branca,Engenharia,São Paulo (SP),Professor - Pesquisador,Sim,2,Projeto 7,2,2,5,2,2,1,5,3,5,2,5,5,5,5,5,3,5,Incluir análise de ciclo de vida.,não,Não participo.
2020/05/20 7:10:32 PM GMT-3,25 - 29,Masculino,Branca,Engenharia,São Paulo (SP),Aluno de doutorado,Sim,2,Projeto 3,5,1,5,5,1,1,5,4,3,1,4,4,5,1,4,1,3,A utilização de biometano e biodiesel no lugar do metano e diesel.,não,Não participo.
2020/05/20 10:24:08 PM GMT-3,18 - 24,Masculino,Parda,Engenharia,São Paulo (SP),Aluno de mestrado,Não,,Projeto 38,2,3,2,1,1,5,5,3,5,1,5,4,5,2,1,1,1,,não,Não participo.
2020/05/21 11:32:41 AM GMT-3,30 - 34,Feminino,Branca,Engenharia,Espírito Santo (ES),Pós-doutorando,Sim,4,Projeto 40,1,1,2,2,1,1,1,2,2,1,1,5,5,4,4,1,5,,não,Não participo.
2020/05/21 3:55:52 PM GMT-3,25 - 29,Masculino,Branca,Engenharia,Estrangeiro,Pós-doutorando,Não,,Projeto 46,3,2,3,3,1,4,5,5,5,3,5,2,5,4,5,3,5,,não,Não participo.
2020/05/21 4:55:48 PM GMT-3,45 - 49,Feminino,Branca,Administração,São Paulo (SP),Aluno de doutorado,Sim,5,Projeto 42,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,não,Não participo.
2020/05/21 4:58:47 PM GMT-3,40 - 44,Masculino,Parda,Administração,Pernambuco (PE),Aluno de mestrado,Sim,5,Projeto 42,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,não,Não participo.
2020/05/21 5:12:36 PM GMT-3,55 - 59,Masculino,Amarela,Engenharia,São Paulo (SP),Professor - Pesquisador,Não,,Projeto 46,3,3,5,5,3,3,5,5,5,3,3,3,5,5,5,3,5,,não,Não participo.
2020/05/21 6:52:55 PM GMT-3,25 - 29,Masculino,Branca,Engenharia,São Paulo (SP),Aluno de mestrado,Sim,4,Projeto 26,2,2,4,2,2,2,5,4,5,2,4,4,5,2,2,3,3,,não,Não participo.
2020/05/21 6:56:55 PM GMT-3,25 - 29,Masculino,Branca,Engenharia,São Paulo (SP),Aluno de mestrado,Sim,4,Projeto 26,2,2,4,2,2,2,5,4,5,2,4,4,5,2,2,2,2,,não,Não participo.
2020/05/21 10:26:07 PM GMT-3,18 - 24,Feminino,Branca,Engenharia,São Paulo (SP),Aluno de iniciação científica,Sim,4,Projeto 31,1,1,4,1,1,2,5,5,5,1,5,5,5,3,5,1,5,,não,Não participo.
2020/05/22 10:03:01 AM GMT-3,25 - 29,Masculino,Branca,Química,São Paulo (SP),Aluno de doutorado,Não,,Projeto 30,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,,não,Não participo.
2020/05/22 11:33:10 AM GMT-3,55 - 59,Masculino,Branca,Química,São Paulo (SP),Professor - Pesquisador,Sim,3,Projeto 31,2,2,2,2,1,2,5,4,5,2,4,4,5,2,2,2,5,,não,Não participo.
2020/05/22 12:09:26 PM GMT-3,18 - 24,Masculino,Branca,Engenharia,São Paulo (SP),Aluno de iniciação científica,Sim,4,Projeto 31,1,1,5,4,3,2,5,1,3,1,2,1,5,2,3,3,5,,não,Não participo.
2020/05/22 12:15:25 PM GMT-3,55 - 59,Masculino,Branca,Geografia,São Paulo (SP),Coordenador de projeto,Não,,Projeto 28,4,2,5,2,2,2,5,2,5,2,5,4,2,1,1,3,5,Cidades poderiam se tornar mais sustentáveis se a gestão pública utilizasse mais os nossos resultados (e de outros projetos).,não,Não participo.
2020/05/22 12:25:21 PM GMT-3,30 - 34,Masculino,Branca,Engenharia,Estrangeiro,Aluno de mestrado,Não,,Projeto 33,1,1,5,4,3,5,1,3,5,1,1,3,5,5,1,1,2,,não,Não participo.
2020/05/22 5:48:49 PM GMT-3,18 - 24,Masculino,Amarela,Engenharia,São Paulo (SP),Aluno de iniciação científica,Não,,Projeto 31,1,1,1,1,1,1,5,2,2,2,4,4,5,1,2,1,2,,não,Não participo.
2020/05/24 2:44:00 PM GMT-3,50 - 54,Masculino,Branca,Engenharia,Rio de Janeiro (RJ),Professor - Pesquisador,Sim,5,Projeto 27,5,5,4,4,5,5,5,5,3,5,5,5,5,4,5,5,5,,não,Não participo.
2020/05/25 3:12:03 AM GMT-3,40 - 44,Feminino,Branca,Economia,São Paulo (SP),Pesquisador,Sim,4,Projeto 24,4,2,5,5,5,2,5,4,4,3,4,3,5,3,2,4,3,"Integração entre projetos, para encontrar soluções conjuntas",não,Não participo.
2020/05/25 2:45:24 PM GMT-3,25 - 29,Masculino,Branca,Engenharia,Minas Gerais (MG),Aluno de doutorado,Sim,3,Projeto 22,2,3,3,2,1,2,4,4,4,2,3,3,5,3,3,2,4,,não,Não participo.
2020/05/25 4:23:09 PM GMT-3,55 - 59,Masculino,Branca,Engenharia,São Paulo (SP),Pesquisador,Sim,3,Projeto 5,1,1,1,1,1,1,5,1,4,1,1,1,5,1,1,1,1,,não,Não participo.
2020/05/25 6:02:32 PM GMT-3,25 - 29,Feminino,Branca,Engenharia,Minas Gerais (MG),Aluno de doutorado,Não,,Projeto 13,5,5,5,5,1,5,5,5,5,3,5,5,5,5,5,5,5,,não,Não participo.
2020/05/26 10:29:46 AM GMT-3,60 - 64,Masculino,Branca,Química,São Paulo (SP),Pesquisador,Sim,4,Projeto 12,2,2,5,4,2,2,5,5,5,2,4,4,5,5,5,3,5,"Desenvolvimento e implantação de tecnologias eficientes, limpas e sustentáveis como as células a combustível.",não,Não participo.
2020/05/26 10:33:55 AM GMT-3,25 - 29,Feminino,Parda,Química,Paraná (PR),Aluno de mestrado,Não,,Projeto 20,3,4,5,5,4,3,5,5,5,3,5,5,5,4,5,3,5,,não,Não participo.
2020/05/26 11:20:42 AM GMT-3,30 - 34,Masculino,Branca,Engenharia,São Paulo (SP),Aluno de doutorado,Sim,3,Projeto 22,1,3,4,3,3,5,5,5,5,2,5,5,5,4,4,4,5,,não,Não participo.
2020/05/26 11:23:30 AM GMT-3,30 - 34,Masculino,Branca,Engenharia,São Paulo (SP),Professor - Pesquisador,Sim,2,Projeto 1,2,1,5,4,3,1,5,5,5,3,3,3,5,1,1,2,3,,não,Não participo.
2020/05/26 12:51:20 PM GMT-3,25 - 29,Feminino,Branca,Engenharia,São Paulo (SP),Pós-doutorando,Não,,Projeto 13,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,não,Não participo.
2020/05/26 8:54:11 PM GMT-3,55 - 59,Masculino,Branca,Engenharia,Alagoas (AL),Professor - Pesquisador,Sim,2,Projeto 40,1,1,4,4,1,1,1,1,1,1,1,4,5,1,4,1,5,,não,Não participo.
2020/05/26 10:08:37 PM GMT-3,30 - 34,Masculino,Preta,Engenharia,Estrangeiro,Aluno de doutorado,Não,,Projeto 32,1,1,5,1,1,1,3,2,1,1,2,3,5,3,4,1,1,,não,Não participo.
2020/05/26 10:20:13 PM GMT-3,25 - 29,Masculino,Branca,Engenharia,São Paulo (SP),Aluno de doutorado,Sim,2,Projeto 37,3,3,5,5,5,3,5,5,5,4,5,5,5,5,5,3,5,,não,Não participo.
2020/05/26 10:49:29 PM GMT-3,30 - 34,Masculino,Branca,Engenharia,São Paulo (SP),Aluno de mestrado,Sim,3,Projeto 4,2,2,5,3,3,3,5,5,5,2,3,3,5,5,2,1,5,"As metodologias envolvidas na otimização do consumo mais eficiente e limpo de energia aplicado as embarcações podem ser replicados à outros meios de transportes e a inúmeros processos e plantas industriais. O acesso às fontes renováveis e aos sistemas de armazenamento de energia podem diminuir as desigualdades e levar qualidade de vida a populações isoladas e de extrema vulnerabilidade econômica. Por fim, o investimento em embarcações híbridas fluviais que atendam as legislações atuais de emissões surge como uma excelente alternativa de transporte de alimentos e outras cargas, contribuindo para a diminuição de preços dos produtos para o consumidor final.",não,Não participo.
2020/05/27 9:57:23 AM GMT-3,35 - 39,Masculino,Branca,estatística,São Paulo (SP),Pós-doutorando,Sim,3,Projeto 33,1,1,5,1,1,1,4,1,5,1,4,5,5,5,3,1,1,,não,Não participo.
2020/05/27 10:25:34 AM GMT-3,25 - 29,Feminino,Parda,Engenharia,Sergipe (SE),Aluno de mestrado,Sim,2,Projeto 16,1,1,4,5,2,1,5,1,5,1,5,5,5,1,5,1,4,,não,Não participo.
2020/05/27 10:28:20 AM GMT-3,25 - 29,Masculino,Branca,Engenharia,São Paulo (SP),Aluno de doutorado,Sim,4,Projeto 46,2,1,4,5,4,1,3,5,5,2,2,4,4,1,4,1,5,Um foco maior na parte de Carbon Capture and Storage.,não,Não participo.
2020/05/27 10:37:20 AM GMT-3,30 - 34,Masculino,Branca,Engenharia,Estrangeiro,Aluno de mestrado,Não,,Projeto 33,1,1,5,1,1,3,1,4,4,1,1,1,5,5,1,1,1,,não,Não participo.
2020/05/27 11:20:40 AM GMT-3,35 - 39,Masculino,Branca,Engenharia,Santa Catarina (SC),Pós-doutorando,Não,,Projeto 31,1,1,5,5,4,3,5,5,4,4,4,5,5,1,3,1,5,,não,Não participo.
2020/05/27 11:26:19 AM GMT-3,35 - 39,Masculino,Amarela,Engenharia,Estrangeiro,Pesquisador,Sim,3,Projeto 34,1,1,4,2,1,4,5,4,5,2,4,3,5,5,5,3,4,,não,Não participo.
2020/05/27 12:13:55 PM GMT-3,65+,Masculino,Parda,Engenharia,São Paulo (SP),Coordenador de projeto,Sim,2,Projeto 40,1,1,3,1,1,1,5,2,5,1,5,5,5,1,5,1,1,O projeto seria mais relevante se a captura e armazenamento de CO2 fosse uma atitude prioritária e obrigatória na produção de energia e na cadeia produtiva de óleo e gás.,não,Não participo.
2020/05/27 12:51:37 PM GMT-3,35 - 39,Masculino,Branca,Engenharia,São Paulo (SP),Pós-doutorando,Sim,3,Projeto 12,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,O projeto 12 está inserido na economia do hidrogênio que visa a atender a maioria dos requisitos de sustentabilidade apontados pela ODS.,não,Não participo.
2020/05/27 1:29:29 PM GMT-3,30 - 34,Feminino,Parda,Engenharia,Rio de Janeiro (RJ),Pós-doutorando,Sim,3,Projeto 32,2,2,4,4,1,1,2,3,4,1,3,5,5,2,2,1,3,,não,Não participo.
2020/05/27 2:36:55 PM GMT-3,30 - 34,Masculino,Branca,Química,São Paulo (SP),Pós-doutorando,Sim,4,Projeto 31,1,3,5,2,1,4,5,1,3,1,4,1,5,2,5,1,4,,não,Não participo.
2020/05/27 2:55:24 PM GMT-3,25 - 29,Masculino,Branca,Engenharia,São Paulo (SP),Aluno de doutorado,Sim,3,Projeto 7,1,1,3,1,1,2,5,2,3,1,4,2,5,5,2,1,4,,não,Não participo.
2020/05/27 4:18:11 PM GMT-3,35 - 39,Feminino,Amarela,Engenharia,Estrangeiro,Pós-doutorando,Sim,4,Projeto 41,1,1,3,5,2,4,5,4,5,3,4,4,5,4,5,3,4,,não,Não participo.
2020/05/27 11:59:19 PM GMT-3,40 - 44,Masculino,Branca,Física,São Paulo (SP),Pesquisador,Sim,3,Projeto 9,3,3,5,2,3,3,3,3,3,2,2,1,5,2,4,1,3,,não,Não participo.
2020/05/28 2:22:20 AM GMT-3,25 - 29,Masculino,Branca,Engenharia,Minas Gerais (MG),Aluno de doutorado,Sim,3,Projeto 16,2,2,3,3,3,5,5,4,5,3,5,5,5,4,4,3,5,,não,Não participo.
2020/05/28 8:26:13 AM GMT-3,50 - 54,Masculino,Branca,Engenharia,São Paulo (SP),Pesquisador,Não,,Projeto 29,3,4,4,2,1,3,5,4,5,2,5,5,5,4,4,2,5,,não,Não participo.
2020/05/28 6:38:29 PM GMT-3,35 - 39,Feminino,Branca,Engenharia,Estrangeiro,Aluno de mestrado,Sim,3,Projeto 4,1,2,4,5,1,1,5,5,4,1,4,5,2,5,5,1,5,A implementação da energia solar que é uma possibilidade. Outra atitude discutida entre os participantes do projeto é a implementação de tecnologias para a diminuição da resistência ao avanço que resultará em menor consumo de combustível e diminuição de emissões. ,não,Não participo.
2020/05/30 1:10:46 AM GMT-3,50 - 54,Masculino,Branca,Engenharia,São Paulo (SP),Professor - Pesquisador,Não,,Projeto 37,4,4,4,4,4,4,5,5,5,4,5,5,5,5,5,3,4,,não,Não participo.
2020/05/30 7:43:33 PM GMT-3,30 - 34,Feminino,Prefiro não declarar,Geologia,Pará (PA),Aluno de doutorado,Sim,4,Projeto 36,2,2,3,2,2,3,5,4,5,2,2,4,5,2,2,2,4,"O projeto 36 poderia ser mais relevante em mais ODS se: (i) incluísse a captação de CO2 por biomassa (BECCS+) e (ii) expandisse o escopo e analisasse diversos tipos de reservatórios geológicos (i.e. aquíferos salinos), mesmo que sem a produção associada de hidrocarbonetos (atualmente o projeto é focado em reservatórios petrolíferos - tecnologia  CO2-EOR).",não,Não participo.
2020/05/30 9:29:54 PM GMT-3,30 - 34,Masculino,Parda,Geografia,São Paulo (SP),Aluno de doutorado,Sim,4,Projeto 28,3,1,1,1,1,2,5,1,3,3,4,2,1,1,1,1,1,,não,Não participo.
2020/05/31 3:39:58 PM GMT-3,35 - 39,Masculino,Amarela,Geografia,São Paulo (SP),Aluno de graduação,Sim,2,Projeto 28,3,1,5,1,1,1,5,1,5,2,5,2,5,1,1,1,1,,não,Não participo.
2020/05/31 4:43:31 PM GMT-3,60 - 64,Feminino,Branca,Bacharelado em Ciência da Computação ,São Paulo (SP),Professor - Pesquisador,Sim,4,Projeto 8,3,3,3,4,3,3,5,5,5,3,5,5,4,2,3,3,3,,não,Não participo.
2020/05/31 10:43:42 PM GMT-3,35 - 39,Masculino,Branca,Geografia,São Paulo (SP),Pesquisador,Sim,3,Projeto 28,3,4,4,5,4,4,5,5,5,3,5,5,5,5,5,3,5,,não,Não participo.
2020/06/01 12:35:39 AM GMT-3,25 - 29,Masculino,Parda,Engenharia,Pará (PA),Aluno de mestrado,Sim,4,Projeto 32,1,1,3,4,3,1,5,3,5,1,4,5,5,3,2,1,4,,não,Não participo.
2020/06/01 12:36:53 PM GMT-3,35 - 39,Feminino,Branca,Engenharia,Minas Gerais (MG),Pós-doutorando,Sim,5,Projeto 13,3,3,5,4,5,4,5,5,5,5,5,5,5,5,5,4,5,Geração de energia limpa,não,Não participo.
2020/06/01 12:40:00 PM GMT-3,35 - 39,Masculino,Branca,Química,Minas Gerais (MG),Pós-doutorando,Não,,Projeto 32,3,3,5,5,5,4,5,5,5,3,5,5,5,5,4,2,5,,não,Não participo.
2020/06/01 12:45:18 PM GMT-3,35 - 39,Masculino,Branca,Física,São Paulo (SP),Professor - Pesquisador,Não,,Projeto 35,1,1,4,4,1,2,1,2,2,1,2,2,4,5,1,1,3,,não,Não participo.
2020/06/01 3:11:12 PM GMT-3,25 - 29,Feminino,Branca,Engenharia,Minas Gerais (MG),Aluno de mestrado,Sim,3,Projeto 26,2,2,2,1,1,1,5,5,5,1,5,5,5,1,3,4,5,,não,Não participo.
2020/06/01 4:56:20 PM GMT-3,40 - 44,Feminino,Branca,Química,São Paulo (SP),Professor - Pesquisador,Sim,4,Projeto 20,1,3,4,5,4,4,4,4,4,4,4,4,4,1,4,2,4,,não,Não participo.
2020/06/01 5:16:31 PM GMT-3,40 - 44,Masculino,Branca,Química,Paraná (PR),Pós-doutorando,Sim,3,Projeto 15,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,não,Não participo.
2020/06/01 5:39:50 PM GMT-3,30 - 34,Masculino,Parda,Engenharia,Bahia (BA),Pós-doutorando,Sim,1,Projeto 32,2,2,4,3,1,3,5,5,5,1,5,5,5,3,5,1,5,Integração energética entre com outros projetos sustentáveis.,não,Não participo.
2020/06/01 8:30:04 PM GMT-3,45 - 49,Masculino,Branca,Engenharia,São Paulo (SP),Professor - Pesquisador,Sim,3,Projeto 34,1,1,4,3,1,1,5,3,5,1,4,1,5,5,2,1,1,,não,Não participo.
2020/06/01 8:39:19 PM GMT-3,45 - 49,Masculino,Amarela,Engenharia,São Paulo (SP),Pós-doutorando,Sim,1,Projeto 35,1,1,5,1,1,1,2,1,3,1,1,4,5,3,3,1,1,,não,Não participo.
2020/06/02 10:49:52 AM GMT-3,50 - 54,Feminino,Prefiro não declarar,Geologia,São Paulo (SP),Pesquisador,Sim,3,Projeto 36,1,1,5,2,1,1,3,1,5,1,1,5,5,1,1,1,5,,não,Não participo.
2020/06/02 12:01:13 PM GMT-3,55 - 59,Masculino,Amarela,Engenharia,São Paulo (SP),Coordenador de projeto,Não,,Projeto 35,2,2,3,3,2,2,5,3,3,2,3,4,4,5,3,3,3,,não,Não participo.
2020/06/09 9:38:02 AM GMT-3,40 - 44,Masculino,Branca,Engenharia,São Paulo (SP),Pós-doutorando,Não,,Projeto 35,1,2,4,2,1,2,4,3,3,1,2,3,5,3,3,1,4,,não,Não participo.
2020/05/15 12:45:12 PM GMT-3,55 - 59,Masculino,Branca,Engenharia,Minas Gerais (MG),Coordenador de projeto,Não,,Projeto 2,2,3,4,2,2,4,5,3,5,3,4,4,5,3,4,2,4,,sim,
2020/05/15 1:17:52 PM GMT-3,35 - 39,Masculino,Parda,Engenharia,Distrito Federal (DF),Professor - Pesquisador,Sim,4,Projeto 39,1,2,3,1,1,1,5,2,4,1,1,3,5,1,1,1,3,,sim,
2020/05/15 1:41:18 PM GMT-3,50 - 54,Masculino,Branca,Engenharia,São Paulo (SP),Coordenador de programa,Sim,4,Projeto 10,2,1,4,4,1,1,3,5,5,1,3,4,5,1,2,1,4,,sim,
2020/05/15 2:11:42 PM GMT-3,40 - 44,Masculino,Branca,Química,São Paulo (SP),Professor - Pesquisador,Sim,3,Projeto 43,1,1,3,5,5,1,4,2,1,3,1,1,5,1,1,1,5,,sim,
2020/05/15 2:33:18 PM GMT-3,35 - 39,Feminino,Branca,História,Santa Catarina (SC),Pesquisador,Sim,4,Projeto 42,1,1,4,5,5,1,5,3,4,3,5,4,5,3,4,1,4,,sim,
2020/05/15 3:00:47 PM GMT-3,35 - 39,Masculino,Branca,Engenharia,São Paulo (SP),Pós-doutorando,Sim,3,Projeto 12,1,1,5,1,1,1,5,1,5,1,5,3,5,1,1,1,3,,sim,
2020/05/15 3:49:00 PM GMT-3,35 - 39,Masculino,Branca,Química,São Paulo (SP),Pesquisador,Sim,3,Projeto 8,1,3,5,3,4,1,5,5,5,5,5,5,5,1,5,1,5,,sim,
2020/05/15 3:56:32 PM GMT-3,35 - 39,Masculino,Branca,Química,São Paulo (SP),Pós-doutorando,Sim,3,Projeto 18,1,1,4,1,1,1,5,5,5,1,5,5,5,5,5,1,5,,sim,
2020/05/15 4:11:24 PM GMT-3,18 - 24,Feminino,Branca,Engenharia,São Paulo (SP),Aluno de iniciação científica,Sim,3,Projeto 18,1,1,5,3,1,1,5,1,3,1,1,3,5,3,5,1,1,,sim,
2020/05/15 6:02:59 PM GMT-3,60 - 64,Masculino,Branca,Engenharia,São Paulo (SP),Professor - Pesquisador,Sim,3,Projeto 40,2,1,4,5,1,1,4,4,5,1,1,1,5,1,4,3,5,,sim,
2020/05/18 11:36:39 AM GMT-3,45 - 49,Masculino,Branca,Química,São Paulo (SP),Pesquisador,Sim,3,Projeto 12,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,,sim,
2020/05/18 11:48:57 AM GMT-3,25 - 29,Masculino,Prefiro não declarar,Engenharia,São Paulo (SP),Aluno de doutorado,Não,,Projeto 3,1,1,1,1,1,1,3,2,2,1,2,1,2,1,1,1,1,,sim,
2020/05/18 11:58:00 AM GMT-3,30 - 34,Masculino,Branca,Engenharia,Santa Catarina (SC),Pós-doutorando,Sim,5,Projeto 23,1,1,1,1,1,1,5,1,4,1,4,4,5,1,1,1,1,,sim,
2020/05/18 3:58:42 PM GMT-3,50 - 54,Masculino,Branca,Engenharia,São Paulo (SP),Professor - Pesquisador,Sim,3,Projeto 2,5,4,4,5,4,5,4,4,4,5,4,4,4,5,5,4,4,"9, 12, 13, 15, 17",sim,
2020/05/20 7:03:04 PM GMT-3,65+,Masculino,Branca,Engenharia,São Paulo (SP),Professor - Pesquisador,Sim,3,Projeto 20,2,2,4,4,1,2,5,4,4,1,5,4,4,1,4,1,4,,sim,
2020/05/26 9:07:14 AM GMT-3,30 - 34,Masculino,Branca,Engenharia,São Paulo (SP),Pesquisador Sênior,Sim,4,Projeto 34,1,1,5,5,1,1,3,4,4,2,2,5,5,4,1,2,4,,sim,
2020/05/27 11:27:14 AM GMT-3,40 - 44,Feminino,Branca,Biologia ,São Paulo (SP),Coordenador de projeto,Sim,4,Projeto 18,4,3,5,5,3,5,5,5,5,3,5,5,5,5,5,3,5,Criação de políticas públicas e/ou incentivo fiscal para o desenvolvimento de produtos sustentáveis ,sim,
2020/05/27 5:41:00 PM GMT-3,55 - 59,Feminino,Branca,Engenharia,Rio Grande do Sul (RS),Coordenador de projeto,Sim,3,Projeto 13,2,2,4,5,5,1,5,3,4,2,4,3,5,1,2,1,3,,sim,
2020/06/01 4:27:28 PM GMT-3,55 - 59,Masculino,Branca,Química,São Paulo (SP),Pesquisador,Sim,3,Projeto 12,4,3,5,4,4,2,5,4,5,3,5,5,5,3,5,3,5,,sim,
2020/06/01 4:47:36 PM GMT-3,30 - 34,Feminino,Branca,Engenharia,São Paulo (SP),Pós-doutorando,Sim,4,Projeto 25,1,2,5,5,1,1,5,3,5,1,5,3,5,1,4,5,3,,sim,
2020/06/01 6:52:30 PM GMT-3,30 - 34,Feminino,Branca,Engenharia,São Paulo (SP),Pós-doutorando,Sim,4,Projeto 25,1,2,5,5,1,1,5,3,5,1,5,3,5,1,4,5,3,,sim,
2020/06/01 8:26:44 PM GMT-3,55 - 59,Feminino,Branca,Matemática,São Paulo (SP),Coordenador de projeto,Sim,4,Projeto 23,1,1,4,1,1,1,4,1,1,1,4,1,3,1,1,1,1,,sim,
2020/06/02 11:42:16 AM GMT-3,65+,Masculino,Branca,Engenharia,Estrangeiro,Professor - Pesquisador,Não,,Projeto 15,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,sim,
2020/06/05 10:02:08 AM GMT-3,55 - 59,Feminino,Parda,Psicologia,São Paulo (SP),Misto: administrativo & aluno de doutorado,Sim,4,Projeto 42,2,2,3,3,2,1,4,2,3,2,3,3,5,1,2,3,3,,sim,
2020/06/05 11:39:47 AM GMT-3,35 - 39,Feminino,Morena,Direito,Rio Grande do Norte (RN),Coordenador de projeto,Sim,5,Projeto 42,3,3,3,5,5,3,5,5,5,5,5,5,5,5,5,5,5,,sim,
2020/05/15 12:45:12 PM GMT-3,55 - 59,Masculino,Branca,Engenharia,Minas Gerais (MG),Coordenador de projeto,Não,,Projeto 2,2,3,4,2,2,4,5,3,5,3,4,4,5,3,4,2,4,,sim,
2020/05/15 1:17:52 PM GMT-3,35 - 39,Masculino,Parda,Engenharia,Distrito Federal (DF),Professor - Pesquisador,Sim,4,Projeto 39,1,2,3,1,1,1,5,2,4,1,1,3,5,1,1,1,3,,sim,
2020/05/15 1:41:18 PM GMT-3,50 - 54,Masculino,Branca,Engenharia,São Paulo (SP),Coordenador de programa,Sim,4,Projeto 10,2,1,4,4,1,1,3,5,5,1,3,4,5,1,2,1,4,,sim,
2020/05/18 11:48:57 AM GMT-3,25 - 29,Masculino,Prefiro não declarar,Engenharia,São Paulo (SP),Aluno de doutorado,Não,,Projeto 3,1,1,1,1,1,1,3,2,2,1,2,1,2,1,1,1,1,,sim,
2020/05/20 7:03:04 PM GMT-3,65+,Masculino,Branca,Engenharia,São Paulo (SP),Professor - Pesquisador,Sim,3,Projeto 20,2,2,4,4,1,2,5,4,4,1,5,4,4,1,4,1,4,,sim,
2020/05/27 5:41:00 PM GMT-3,55 - 59,Feminino,Branca,Engenharia,Rio Grande do Sul (RS),Coordenador de projeto,Sim,3,Projeto 13,2,2,4,5,5,1,5,3,4,2,4,3,5,1,2,1,3,,sim,